step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,errorBalanceOrig,errorBalanceDest,hora_del_dia,dia_de_la_semana,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,dest_type_M
1,55855.58,0.0,0.0,68283.63,43691.09,0,55855.58,80448.12000000001,1,0,1,0,0,0,0
1,1639.33,5912.0,4272.67,0.0,0.0,0,0.0,1639.33,1,0,0,0,1,0,1
1,7590.6,21212.0,13621.4,0.0,0.0,0,0.0,7590.6,1,0,0,0,1,0,1
2,6459.82,244813.0,238353.18,9807.8,17320.91,0,0.0,-1053.2900000000009,2,0,0,1,0,0,0
2,7663.4,758958.3,751294.9,0.0,0.0,0,0.0,7663.4,2,0,0,0,1,0,1
2,22096.38,8859677.3,8881773.68,871439.65,330085.6,0,44192.75999999978,563450.43,2,0,0,0,0,0,0
2,29414.89,0.0,0.0,0.0,0.0,0,29414.89,29414.89,2,0,0,0,1,0,1
2,14514.14,0.0,0.0,0.0,0.0,0,14514.14,14514.14,2,0,0,0,1,0,1
2,70325.16,3068913.26,3139238.42,110481.0,40155.84,0,140650.3200000003,140650.32,2,0,0,0,0,0,0
2,6808.86,9210.62,2401.76,0.0,0.0,0,-1.8189894035458565e-12,6808.86,2,0,0,0,1,0,1
2,956.17,759914.47,758958.3,0.0,0.0,0,1.1641532182693481e-10,956.17,2,0,0,0,1,0,1
3,6699.52,0.0,0.0,0.0,0.0,0,6699.52,6699.52,3,0,0,0,1,0,1
3,99349.84,0.0,0.0,9027510.57,9126860.4,0,99349.84,0.009999999776482582,3,0,1,0,0,0,0
3,192421.03,0.0,0.0,6377400.33,6778025.76,0,192421.03,-208204.39999999944,3,0,0,0,0,1,0
4,19548.49,16567.87,0.0,7810214.06,7829762.55,0,2980.6200000000026,0.0,4,0,1,0,0,0,0
4,2831.44,11763.0,8931.56,0.0,0.0,0,0.0,2831.44,4,0,0,0,1,0,1
4,8221.47,152.07,0.0,0.0,0.0,0,8069.4,8221.47,4,0,0,0,1,0,1
4,354.17,0.0,0.0,0.0,0.0,0,354.17,354.17,4,0,0,0,1,0,1
5,7269.69,1049.0,0.0,0.0,0.0,0,6220.69,7269.69,5,0,0,0,1,0,1
5,41139.2,0.0,0.0,4388254.93,4429394.13,0,41139.2,0.0,5,0,0,0,0,1,0
5,2634.1,11678.0,9043.9,0.0,0.0,0,0.0,2634.1,5,0,0,0,1,0,1
5,1901.5,74177.67,72276.18,0.0,0.0,0,0.00999999999476131,1901.5,5,0,0,0,1,0,1
5,38371.41,21304.32,0.0,0.0,0.0,0,17067.090000000004,38371.41,5,0,0,0,1,0,1
5,11446.18,36560.0,25113.82,0.0,0.0,0,0.0,11446.18,5,0,0,0,1,0,1
5,5379.9,6326.0,946.1,0.0,0.0,0,0.0,5379.9,5,0,0,0,1,0,1
6,115359.35,4124593.17,4239952.52,320843.0,117034.28,0,230718.69999999925,319168.06999999995,6,0,0,0,0,0,0
6,50747.77,0.0,0.0,0.0,0.0,0,50747.77,50747.77,6,0,0,0,1,0,1
6,15734.0,10160.0,0.0,0.0,0.0,0,5574.0,15734.0,6,0,0,0,1,0,1
6,116215.63,10572061.34,10688276.97,430740.4,9973139.6,0,232431.26000000164,-9426183.57,6,0,0,0,0,0,0
6,139845.98,0.0,0.0,158028.52,6192.55,0,139845.98,291681.95,6,0,1,0,0,0,0
6,15147.34,0.0,0.0,0.0,0.0,0,15147.34,15147.34,6,0,0,0,1,0,1
6,3169.28,41661.0,38491.72,0.0,0.0,0,0.0,3169.28,6,0,0,0,1,0,1
6,11436.26,0.0,0.0,0.0,0.0,0,11436.26,11436.26,6,0,0,0,1,0,1
6,300026.34,1161124.63,1461150.97,398176.0,98149.66,0,600052.6800000002,600052.68,6,0,0,0,0,0,0
6,16169.9,24556.0,8386.1,0.0,0.0,0,0.0,16169.9,6,0,0,0,1,0,1
6,2563.99,160969.36,158405.36,0.0,0.0,0,-0.010000000009313226,2563.99,6,0,0,0,1,0,1
6,28369.96,66292.0,37922.04,0.0,0.0,0,0.0,28369.96,6,0,0,0,1,0,1
7,22880.85,5811601.8,5834482.65,197235.65,174354.81,0,45761.700000000186,45761.69,7,0,0,0,0,0,0
7,3010.98,51217.0,48206.02,0.0,0.0,0,0.0,3010.98,7,0,0,0,1,0,1
7,5563.16,31031.0,25467.84,0.0,0.0,0,0.0,5563.16,7,0,0,0,1,0,1
7,15883.71,0.0,0.0,0.0,0.0,0,15883.71,15883.71,7,0,0,0,1,0,1
7,885690.72,0.0,0.0,1776169.36,5739012.22,0,885690.72,-3077152.1399999997,7,0,0,0,0,1,0
7,12835.96,28597.0,15761.04,0.0,0.0,0,0.0,12835.96,7,0,0,0,1,0,1
7,4339.89,17897.0,13557.11,101607.0,105946.89,0,0.0,0.0,7,0,1,0,0,0,0
7,4025.33,403014.0,398988.67,0.0,0.0,0,0.0,4025.33,7,0,0,0,1,0,1
7,269032.52,42415.89,0.0,12071198.42,13649019.57,0,226616.63,-1308788.6300000008,7,0,1,0,0,0,0
7,8912.73,51941.0,43028.27,0.0,0.0,0,0.0,8912.73,7,0,0,0,1,0,1
7,23795.06,0.0,0.0,0.0,0.0,0,23795.06,23795.06,7,0,0,0,1,0,1
7,135457.75,55242.0,0.0,298.0,0.0,0,80215.75,135755.75,7,0,0,0,0,1,0
7,341128.83,5119.15,0.0,4641846.68,5251235.25,0,336009.68,-268259.7400000002,7,0,1,0,0,0,0
7,6081.69,303838.23,297756.54,0.0,0.0,0,0.0,6081.69,7,0,0,0,1,0,1
7,496460.1,5296382.13,5792842.23,12946860.42,12450400.32,0,992920.2000000002,992920.1999999993,7,0,0,0,0,0,0
7,335704.28,0.0,0.0,791864.76,6347068.5,0,335704.28,-5219499.46,7,0,1,0,0,0,0
7,25045.22,0.0,0.0,25120.0,0.0,0,25045.22,50165.22,7,0,1,0,0,0,0
7,1672.97,231.0,0.0,0.0,0.0,0,1441.97,1672.97,7,0,0,0,1,0,1
7,28574.65,1467147.2,1495721.85,47857.0,119022.01,0,57149.30000000005,-42590.36,7,0,0,0,0,0,0
7,1937.87,19827.0,17889.13,19379.0,0.0,0,0.0,21316.87,7,0,0,1,0,0,0
7,51024.98,0.0,0.0,0.0,0.0,0,51024.98,51024.98,7,0,0,0,1,0,1
7,9295.61,230905.0,221609.39,0.0,0.0,0,0.0,9295.61,7,0,0,0,1,0,1
7,5869.28,34607.0,28737.72,0.0,0.0,0,0.0,5869.28,7,0,0,0,1,0,1
7,568394.9,0.0,0.0,7837942.9,8257071.34,0,568394.9,149266.4600000009,7,0,0,0,0,1,0
7,17655.7,39294.0,56949.7,468.0,0.0,0,35311.399999999994,18123.7,7,0,0,0,0,0,0
7,7162.79,147595.36,140432.57,0.0,0.0,0,2.9103830456733704e-11,7162.79,7,0,0,0,1,0,1
7,53459.12,0.0,0.0,70971.0,0.0,0,53459.12,124430.12,7,0,1,0,0,0,0
7,3588.2,8864.0,5275.8,0.0,0.0,0,0.0,3588.2,7,0,0,0,1,0,1
7,2865.64,779.0,0.0,0.0,0.0,0,2086.64,2865.64,7,0,0,0,1,0,1
7,15867.87,59428.0,43560.13,0.0,0.0,0,0.0,15867.87,7,0,0,0,1,0,1
7,5147.97,0.0,0.0,0.0,0.0,0,5147.97,5147.97,7,0,0,0,1,0,1
7,25705.85,9141135.68,9166841.53,533924.0,191289.18,0,51411.699999999255,368340.67,7,0,0,0,0,0,0
7,17686.08,175013.82,157327.75,0.0,0.0,0,0.010000000009313226,17686.08,7,0,0,0,1,0,1
7,172317.33,0.0,0.0,317268.0,1278933.03,0,172317.33,-789347.7000000001,7,0,0,0,0,1,0
7,2322.82,6590.64,4267.83,0.0,0.0,0,0.009999999999308784,2322.82,7,0,0,0,1,0,1
7,29010.6,4358809.16,4387819.76,73844.55,69295.43,0,58021.199999999255,33559.72,7,0,0,0,0,0,0
7,6059.38,17108.0,11048.62,0.0,0.0,0,0.0,6059.38,7,0,0,0,1,0,1
7,5545.67,58691.0,53145.33,70803.56,0.0,0,0.0,76349.23,7,0,0,1,0,0,0
7,84265.18,196027.28,280292.46,381925.01,297659.82,0,168530.36000000002,168530.37,7,0,0,0,0,0,0
7,6314.93,198.0,0.0,0.0,0.0,0,6116.93,6314.93,7,0,0,0,1,0,1
7,63322.59,0.0,0.0,415105.48,331925.12,0,63322.59,146502.94999999995,7,0,1,0,0,0,0
7,338765.76,7285646.99,7624412.75,1071251.48,4439070.28,0,677531.5199999996,-3029053.04,7,0,0,0,0,0,0
7,6719.58,0.0,0.0,0.0,0.0,0,6719.58,6719.58,7,0,0,0,1,0,1
7,12650.89,48345.47,35694.58,0.0,0.0,0,0.0,12650.89,7,0,0,0,1,0,1
7,128549.2,0.0,0.0,160349.0,25332.01,0,128549.2,263566.19,7,0,1,0,0,0,0
7,165482.39,236733.0,71250.61,69574.0,242656.13,0,0.0,-7599.739999999991,7,0,1,0,0,0,0
7,485485.3,3661.84,0.0,10194649.73,17132106.53,0,481823.45999999996,-6451971.5,7,0,0,0,0,1,0
7,6158.36,101089.54,94931.18,0.0,0.0,0,0.0,6158.36,7,0,0,0,1,0,1
7,9250.16,17321.55,8071.39,0.0,0.0,0,0.0,9250.16,7,0,0,0,1,0,1
7,6657.32,11338.0,4680.68,0.0,0.0,0,0.0,6657.32,7,0,0,0,1,0,1
7,4096.71,34479.0,30382.29,0.0,0.0,0,0.0,4096.71,7,0,0,0,1,0,1
7,785724.89,0.0,0.0,12193900.2,16667982.08,0,785724.89,-3688356.99,7,0,0,0,0,1,0
7,1709.18,14656.0,12946.82,0.0,0.0,0,0.0,1709.18,7,0,0,0,1,0,1
7,1519.53,129030.0,127510.47,0.0,0.0,0,0.0,1519.53,7,0,0,0,1,0,1
7,267.33,0.0,0.0,0.0,0.0,0,267.33,267.33,7,0,0,0,1,0,1
7,7785.98,4057.0,0.0,0.0,0.0,0,3728.9799999999996,7785.98,7,0,0,0,1,0,1
7,76185.26,4537.0,80722.26,188.0,0.0,0,152370.52,76373.26,7,0,0,0,0,0,0
8,1247721.57,0.0,0.0,1742084.28,4605990.97,0,1247721.57,-1616185.1199999996,8,0,0,0,0,1,0
8,330132.71,0.0,330132.71,131214.52,0.0,0,660265.42,461347.23,8,0,0,0,0,0,0
8,792.95,1006.0,213.05,0.0,0.0,0,0.0,792.95,8,0,0,0,1,0,1
8,361952.36,0.0,0.0,21218204.01,21939087.4,0,361952.36,-358931.02999999747,8,0,1,0,0,0,0
8,127570.31,0.0,0.0,314877.72,577588.9,0,127570.31,-135140.87000000005,8,0,1,0,0,0,0
8,148334.29,0.0,0.0,6308760.05,6457094.34,0,148334.29,0.0,8,0,1,0,0,0,0
8,16258.16,0.0,0.0,0.0,0.0,0,16258.16,16258.16,8,0,0,0,1,0,1
8,738.26,0.0,0.0,0.0,0.0,0,738.26,738.26,8,0,0,0,1,0,1
8,9229.99,256.0,0.0,0.0,0.0,0,8973.99,9229.99,8,0,0,0,1,0,1
8,123236.45,2467680.05,2590916.5,201392.54,78156.09,0,246472.90000000037,246472.9,8,0,0,0,0,0,0
8,19828.54,2705085.98,2685257.44,0.0,0.0,0,0.0,19828.54,8,0,0,0,1,0,1
8,11730.15,1728098.62,1739828.77,107413.79,0.0,0,23460.299999999814,119143.93999999999,8,0,0,0,0,0,0
8,61213.17,0.0,0.0,373907.02,0.0,0,61213.17,435120.19,8,0,1,0,0,0,0
8,22646.79,0.0,0.0,0.0,0.0,0,22646.79,22646.79,8,0,0,0,1,0,1
8,118855.54,51601.0,170456.54,6234.0,0.0,0,237711.08000000002,125089.54,8,0,0,0,0,0,0
8,195113.8,241648.0,46534.2,72185.8,0.0,0,0.0,267299.6,8,0,1,0,0,0,0
8,4253.25,71911.35,67658.1,0.0,0.0,0,0.0,4253.25,8,0,0,0,1,0,1
8,3693.63,90791.76,87098.13,0.0,0.0,0,1.4551915228366852e-11,3693.63,8,0,0,0,1,0,1
8,23072.77,13481520.09,13504592.85,75707.0,0.0,0,46145.52999999933,98779.77,8,0,0,0,0,0,0
8,694.34,20951.0,20256.66,0.0,0.0,0,0.0,694.34,8,0,0,0,1,0,1
8,18556.8,4000597.0,4019153.81,71140.3,52583.5,0,37113.60999999987,37113.600000000006,8,0,0,0,0,0,0
8,814.79,104210.0,103395.21,0.0,0.0,0,0.0,814.79,8,0,0,0,1,0,1
8,25260.38,218145.72,192885.34,333782.1,254341.75,0,0.0,104700.72999999998,8,0,1,0,0,0,0
8,162922.85,0.0,0.0,177814.8,340737.65,0,162922.85,0.0,8,0,1,0,0,0,0
8,2182.8,949857.67,947674.88,0.0,0.0,0,0.010000000009313226,2182.8,8,0,0,0,1,0,1
8,59267.26,3112903.79,3172171.05,115031.0,0.0,0,118534.51999999955,174298.26,8,0,0,0,0,0,0
8,146640.04,0.0,146640.04,3377618.32,4605990.97,0,293280.08,-1081732.6099999999,8,0,0,0,0,0,0
8,13899.83,836536.38,822636.55,0.0,0.0,0,0.0,13899.83,8,0,0,0,1,0,1
8,2760.18,9042.0,6281.82,0.0,0.0,0,0.0,2760.18,8,0,0,0,1,0,1
8,280451.3,0.0,0.0,986412.38,1236584.82,0,280451.3,30278.85999999987,8,0,0,0,0,1,0
8,2245.95,92357.0,90111.05,0.0,0.0,0,0.0,2245.95,8,0,0,0,1,0,1
8,67551.74,0.0,0.0,109433.1,225417.28,0,67551.74,-48432.43999999997,8,0,1,0,0,0,0
8,10526.09,3035.0,0.0,0.0,0.0,0,7491.09,10526.09,8,0,0,0,1,0,1
8,18973.51,0.0,0.0,194725.89,0.0,0,18973.51,213699.40000000002,8,0,1,0,0,0,0
8,219586.05,21136.0,0.0,7641.79,108775.04,0,198450.05,118452.8,8,0,1,0,0,0,0
8,137707.39,400.0,0.0,29708.0,167415.39,0,137307.39,0.0,8,0,1,0,0,0,0
8,8459.01,0.0,0.0,0.0,0.0,0,8459.01,8459.01,8,0,0,0,1,0,1
8,2919787.84,0.0,0.0,3901646.56,6821434.41,0,2919787.84,-0.009999999776482582,8,0,0,0,0,1,0
8,384252.71,0.0,0.0,1427697.25,1811949.96,0,384252.71,0.0,8,0,1,0,0,0,0
8,14420.57,484.0,0.0,0.0,0.0,0,13936.57,14420.57,8,0,0,0,1,0,1
8,12098.11,46972.0,34873.89,0.0,0.0,0,0.0,12098.11,8,0,0,0,1,0,1
8,241964.28,17728713.82,17970678.1,1069967.92,0.0,0,483928.5600000024,1311932.2,8,0,0,0,0,0,0
8,7924.17,50493.0,42568.83,0.0,0.0,0,0.0,7924.17,8,0,0,0,1,0,1
8,12947.82,464357.69,451409.87,0.0,0.0,0,0.0,12947.82,8,0,0,0,1,0,1
8,14311.15,406664.52,392353.38,0.0,0.0,0,0.010000000009313226,14311.15,8,0,0,0,1,0,1
8,2459.49,21489.0,19029.51,0.0,0.0,0,0.0,2459.49,8,0,0,0,1,0,1
8,190062.95,8064.0,0.0,0.0,190062.95,0,181998.95,0.0,8,0,1,0,0,0,0
8,28446.15,0.0,0.0,72111.4,0.0,0,28446.15,100557.54999999999,8,0,1,0,0,0,0
8,12267.58,0.0,0.0,0.0,0.0,0,12267.58,12267.58,8,0,0,0,1,0,1
8,19771.47,0.0,0.0,0.0,0.0,0,19771.47,19771.47,8,0,0,0,1,0,1
8,137461.38,636.0,138097.38,83835.66,0.0,0,274922.76,221297.04,8,0,0,0,0,0,0
8,15135.85,34094.0,18958.15,0.0,0.0,0,0.0,15135.85,8,0,0,0,1,0,1
8,183088.17,142.0,0.0,0.0,89839.22,0,182946.17,93248.95000000001,8,0,1,0,0,0,0
8,14214.13,4441828.31,4456042.44,25069.06,0.0,0,28428.260000000708,39283.19,8,0,0,0,0,0,0
8,7632.14,3423141.07,3415508.92,0.0,0.0,0,-0.009999999776482582,7632.14,8,0,0,0,1,0,1
8,357786.09,110182.15,0.0,547356.35,905142.44,0,247603.94000000003,0.0,8,0,1,0,0,0,0
8,6825.8,0.0,0.0,0.0,0.0,0,6825.8,6825.8,8,0,0,0,1,0,1
8,32433.2,1587.6,0.0,0.0,0.0,0,30845.600000000002,32433.2,8,0,0,0,1,0,1
8,7093.32,0.0,0.0,0.0,0.0,0,7093.32,7093.32,8,0,0,0,1,0,1
8,237034.7,0.0,0.0,1036985.78,2074668.33,0,237034.7,-800647.8500000001,8,0,1,0,0,0,0
8,26965.25,0.0,0.0,4667812.49,4984096.57,0,26965.25,-289318.8300000001,8,0,1,0,0,0,0
8,347476.66,0.0,0.0,2607131.76,3018034.04,0,347476.66,-63425.62000000011,8,0,1,0,0,0,0
8,303626.77,4096.0,0.0,0.0,756076.63,0,299530.77,-452449.86,8,0,1,0,0,0,0
8,8180.06,80321.0,72140.94,0.0,0.0,0,0.0,8180.06,8,0,0,0,1,0,1
8,189099.53,172.0,0.0,25216.0,214315.53,0,188927.53,0.0,8,0,1,0,0,0,0
8,2237.87,10659.0,8421.13,0.0,0.0,0,0.0,2237.87,8,0,0,0,1,0,1
8,240636.86,14633.0,0.0,0.0,1734515.95,0,226003.86,-1493879.0899999999,8,0,0,0,0,1,0
8,16390.31,114686.0,98295.69,0.0,0.0,0,0.0,16390.31,8,0,0,0,1,0,1
8,458399.46,0.0,0.0,1989877.01,2815509.64,0,458399.46,-367233.1699999999,8,0,1,0,0,0,0
8,372571.39,0.0,0.0,4153328.96,4529886.44,0,372571.39,-3986.0900000007823,8,0,1,0,0,0,0
8,90081.74,10785.0,0.0,105327.41,516729.48,0,79296.74,-321320.32999999996,8,0,1,0,0,0,0
8,1243.55,0.0,0.0,0.0,0.0,0,1243.55,1243.55,8,0,0,0,1,0,1
8,2082.04,0.0,0.0,0.0,0.0,0,2082.04,2082.04,8,0,0,0,1,0,1
8,59212.01,0.0,0.0,368147.66,188802.23,0,59212.01,238557.43999999997,8,0,1,0,0,0,0
8,118261.7,1341.0,119602.7,252.0,0.0,0,236523.4,118513.7,8,0,0,0,0,0,0
8,125429.66,15872.0,141301.66,0.0,0.0,0,250859.32,125429.66,8,0,0,0,0,0,0
8,19995.6,45384.44,25388.84,0.0,0.0,0,0.0,19995.6,8,0,0,0,1,0,1
8,32003.33,0.0,0.0,0.0,0.0,0,32003.33,32003.33,8,0,0,0,1,0,1
8,171909.33,83617.0,0.0,80740.0,0.0,0,88292.32999999999,252649.33,8,0,1,0,0,0,0
8,258257.67,33846.0,0.0,0.0,667093.53,0,224411.67,-408835.86,8,0,1,0,0,0,0
8,88777.73,0.0,0.0,14068690.23,17202746.09,0,88777.73,-3045278.129999999,8,0,1,0,0,0,0
8,200781.74,15043.0,0.0,325261.56,526043.3,0,185738.74,0.0,8,0,1,0,0,0,0
8,1903560.15,0.0,0.0,6380456.2,9281535.44,0,1903560.15,-997519.0899999999,8,0,0,0,0,1,0
8,323892.28,0.0,0.0,2361584.78,6457094.34,0,323892.28,-3771617.2800000003,8,0,1,0,0,0,0
8,593358.32,1301916.73,1895275.05,759600.16,147988.14,0,1186716.6400000001,1204970.3399999999,8,0,0,0,0,0,0
8,21854.56,135686.99,113832.43,0.0,0.0,0,0.0,21854.56,8,0,0,0,1,0,1
8,11977.25,0.0,0.0,0.0,0.0,0,11977.25,11977.25,8,0,0,0,1,0,1
8,272457.06,30855.0,0.0,1190295.98,2783578.28,0,241602.06,-1320825.2399999998,8,0,1,0,0,0,0
8,474819.16,0.0,0.0,576874.04,1216696.84,0,474819.16,-165003.64000000013,8,0,0,0,0,1,0
8,59512.94,0.0,0.0,1201494.14,2650003.08,0,59512.94,-1388996.0000000002,8,0,1,0,0,0,0
8,175934.86,0.0,0.0,214555.56,80452.71,0,175934.86,310037.70999999996,8,0,1,0,0,0,0
8,9670.35,276973.0,267302.65,0.0,0.0,0,0.0,9670.35,8,0,0,0,1,0,1
8,173870.17,0.0,0.0,3656944.06,3830814.23,0,173870.17,0.0,8,0,1,0,0,0,0
8,61175.23,151819.0,90643.77,393406.66,833657.8,0,0.0,-379075.9100000001,8,0,1,0,0,0,0
8,11587.85,0.0,0.0,0.0,0.0,0,11587.85,11587.85,8,0,0,0,1,0,1
8,6417.75,250245.0,243827.25,0.0,0.0,0,0.0,6417.75,8,0,0,0,1,0,1
8,2416072.81,0.0,0.0,3205611.37,5810930.82,0,2416072.81,-189246.6400000006,8,0,0,0,0,1,0
8,7219.37,0.0,0.0,0.0,0.0,0,7219.37,7219.37,8,0,0,0,1,0,1
8,40699.73,71653.0,30953.27,0.0,40699.73,0,0.0,0.0,8,0,1,0,0,0,0
8,82354.93,0.0,0.0,2815700.63,4215505.1,0,82354.93,-1317449.5399999996,8,0,1,0,0,0,0
8,6215.51,991.0,0.0,0.0,0.0,0,5224.51,6215.51,8,0,0,0,1,0,1
8,252572.26,946.0,253518.26,50547.82,0.0,0,505144.52,303120.08,8,0,0,0,0,0,0
8,5834.08,56222.0,50387.92,0.0,0.0,0,0.0,5834.08,8,0,0,0,1,0,1
8,9892.45,501280.0,491387.55,0.0,0.0,0,0.0,9892.45,8,0,0,0,1,0,1
8,375459.77,252857.3,0.0,0.0,125029.28,0,122602.47000000003,250430.49000000002,8,0,0,0,0,1,0
8,1536875.34,20422.0,0.0,51931.0,3488994.97,0,1516453.34,-1900188.6300000001,8,0,0,0,0,1,0
8,22837.38,22456.0,45293.38,0.0,0.0,0,45674.759999999995,22837.38,8,0,0,0,0,0,0
8,129302.24,0.0,0.0,170100.81,299403.05,0,129302.24,0.0,8,0,1,0,0,0,0
8,39971.05,40563.53,592.48,0.0,0.0,0,7.275957614183426e-12,39971.05,8,0,0,0,1,0,1
8,313500.67,809015.1,495514.43,459008.8,812216.2,0,0.0,-39706.72999999998,8,0,1,0,0,0,0
8,264883.85,0.0,0.0,3670494.84,6795453.82,0,264883.85,-2860075.1300000004,8,0,1,0,0,0,0
8,13895.56,20997.0,7101.44,0.0,0.0,0,0.0,13895.56,8,0,0,0,1,0,1
8,10311.87,0.0,0.0,0.0,0.0,0,10311.87,10311.87,8,0,0,0,1,0,1
8,32958.81,0.0,0.0,0.0,0.0,0,32958.81,32958.81,8,0,0,0,1,0,1
8,941.66,0.0,0.0,0.0,0.0,0,941.66,941.66,8,0,0,0,1,0,1
8,1122.97,24233.0,23110.03,0.0,0.0,0,0.0,1122.97,8,0,0,0,1,0,1
8,4186.66,2095789.53,2091602.88,0.0,0.0,0,0.009999999776482582,4186.66,8,0,0,0,1,0,1
8,1161.65,101347.0,100185.35,656087.34,491448.89,0,0.0,165800.09999999998,8,0,0,1,0,0,0
8,146263.53,0.0,0.0,337706.93,788661.89,0,146263.53,-304691.43000000005,8,0,1,0,0,0,0
8,3523.51,10004.0,6480.49,0.0,0.0,0,0.0,3523.51,8,0,0,0,1,0,1
8,11736.93,149352.33,137615.4,0.0,0.0,0,0.0,11736.93,8,0,0,0,1,0,1
8,24707.43,0.0,0.0,0.0,0.0,0,24707.43,24707.43,8,0,0,0,1,0,1
8,7884.35,0.0,0.0,0.0,0.0,0,7884.35,7884.35,8,0,0,0,1,0,1
8,291436.76,977975.86,1269412.63,1227506.24,686937.33,0,582873.5299999999,832005.67,8,0,0,0,0,0,0
8,147501.55,0.0,0.0,174083.92,170309.52,0,147501.55,151275.94999999998,8,0,1,0,0,0,0
8,77455.91,20827.0,0.0,0.0,77455.91,0,56628.91,0.0,8,0,1,0,0,0,0
8,141362.28,0.0,0.0,245252.34,0.0,0,141362.28,386614.62,8,0,1,0,0,0,0
8,38503.71,0.0,0.0,11221430.05,11835842.92,0,38503.71,-575909.1599999983,8,0,1,0,0,0,0
8,184338.77,465.0,0.0,0.0,142287.84,0,183873.77,42050.92999999999,8,0,1,0,0,0,0
8,276293.94,636499.98,912793.92,1152347.94,0.0,0,552587.8800000001,1428641.88,8,0,0,0,0,0,0
8,173135.88,0.0,0.0,537762.39,1643201.26,0,173135.88,-932302.99,8,0,1,0,0,0,0
8,315548.72,20619.0,0.0,15706.0,323398.34,0,294929.72,7856.379999999946,8,0,1,0,0,0,0
8,352987.46,8128786.81,8481774.27,10091539.09,14786300.22,0,705974.9200000009,-4341773.67,8,0,0,0,0,0,0
8,236640.02,367018.28,603658.3,281194.85,82971.16,0,473280.04000000004,434863.70999999996,8,0,0,0,0,0,0
8,287583.08,0.0,0.0,842968.57,1586820.55,0,287583.08,-456268.90000000014,8,0,1,0,0,0,0
8,387326.6,1525361.96,1912688.56,1370403.24,762973.35,0,774653.2000000002,994756.4899999999,8,0,0,0,0,0,0
8,59865.84,795336.07,855201.92,86031.53,26165.69,0,119731.69000000006,119731.68,8,0,0,0,0,0,0
8,281625.44,0.0,0.0,1208702.95,1135043.98,0,281625.44,355284.4099999999,8,0,1,0,0,0,0
8,87362.86,1990.0,0.0,0.0,416117.22,0,85372.86,-328754.36,8,0,1,0,0,0,0
8,1083239.34,0.0,0.0,13110161.46,14711326.65,0,1083239.34,-517925.8499999996,8,0,0,0,0,1,0
8,222548.88,14718.0,0.0,1319415.2,1311387.88,0,207830.88,230576.2000000002,8,0,1,0,0,0,0
8,371923.95,0.0,0.0,821608.59,1232867.65,0,371923.95,-39335.10999999987,8,0,1,0,0,0,0
8,294042.99,10653806.45,10947849.44,2507031.82,4200399.97,0,588085.9800000004,-1399325.1600000001,8,0,0,0,0,0,0
8,84175.39,0.0,0.0,143534.68,0.0,0,84175.39,227710.07,8,0,1,0,0,0,0
8,322625.4,340205.07,662830.47,561490.94,461760.23,0,645250.8,422356.11,8,0,0,0,0,0,0
8,410974.71,0.0,0.0,2244828.4,3539577.27,0,410974.71,-883774.1600000001,8,0,1,0,0,0,0
